Minimum Sense Count,Maximum Sense Count,Mean Sense Count,Minimum Fitness,Maximum Fitness,Mean Fitness,Minimum Guess0 Count,Maximum Guess0 Count,Mean Guess0 Count,Minimum Guess1 Count,Maximum Guess1 Count,Mean Guess1 Count
0,38.16,0.58878,-100,53,-51.247,0,38.54,0.64732,0,60.76,0.6647
0,38.34,0.70544,-100,56,-19.499,0,41.3,1.16678,0,60.84,1.07864
0,38.26,0.82166,-100,59,11.738,0,38.74,1.5454,0,60.8,1.75882
0,38.06,0.84418,-100,59,33.797,0,41.8,2.03718,0,60.94,2.11498
0,61.14,0.9895,-100,57,41.681,0,38.7,2.12382,0,61.04,2.0405
0,43.02,1.01648,-100,61,43.157,0,41.54,2.02372,0,60.56,2.00108
0,34.42,0.91836,-100,61,43.402,0,47.76,2.09732,0,50.36,2.11588
0,35.04,0.93238,-100,58,42.408,0,47.82,2.34128,0,50.22,1.98988
0,34.56,1.0411,-100,56,43.398,0,47.78,2.5241,0,31.1,2.05354
0,35.26,1.0532,-100,59,45.672,0,47.6,2.5124,0,30.62,1.9252
0,35.08,0.97704,-100,57,45.73,0,50.22,2.52308,0,30.7,1.92274
0,35.58,0.80046,-100,63,45.312,0,50.22,2.372,0,30.66,1.89212
0,35.24,0.90014,-100,55,45.236,0,50.8,2.54262,0,30.76,1.92382
0,35.68,0.83672,-100,61,43.354,0,50.42,2.05928,0,30.82,1.7776
0,35.5,0.82088,-100,61,45.894,0,51.04,2.41738,0,30.76,1.87922
0,41.06,0.90736,-100,54,44.013,0,50.62,2.53082,0,30.78,1.8071
0,35.12,0.8725,-100,62,44.679,0,50.44,2.62326,0,30.5,1.78158
0,33.56,0.77634,-100,61,45.199,0,55.96,2.60574,0,30.7,1.7989
0,47.64,0.8401,-100,56,44.601,0,50.7,2.4554,0,30.6,1.87364
0,57.8,1.01738,-100,60,43.364,0,50.6,2.54674,0,37.4,1.83914
0,57.3,0.93366,-100,59,45.016,0,50.38,2.78344,0,30.74,1.82688
0,58.04,1.04132,-100,56,43.436,0,50.72,2.63944,0,30.7,1.68212
0,57.88,1.03138,-100,59,44.613,0,50.48,2.62874,0,30.58,1.70258
0,58.42,1.1523,-100,62,44.917,0,50.58,2.85428,0,30.7,1.6597
0,58.54,1.03514,-100,56,45.227,0,50.86,2.9914,0,30.56,1.72194
0,57.94,0.9709,-100,58,44.195,0,59.62,2.58088,0,22.48,1.58236
0,35.46,0.84254,-100,61,44.691,0,59.24,2.77304,0,19.52,1.595
0,29.14,0.81478,-100,57,44.693,0,50.56,2.84774,0,19.34,1.5305
0,26.66,0.7829,-100,57,44.894,0,50.56,2.42592,0,19.18,1.47162
0,26.76,0.75992,-100,62,44.412,0,75.82,2.41158,0,30.52,1.4727
0,50.26,0.99376,-100,63,44.823,0,51.78,2.88338,0,51.04,1.4886
0,50.48,0.99932,-100,57,44.8,0,51,3.01088,0,51.12,1.39818
0,50.14,0.9558,-100,61,44.545,0,60.4,3.04632,0,50.88,1.37488
0,50.38,0.8794,-100,61,46.108,0,76.18,3.56604,0,51,1.46452
0,50.56,0.75198,-100,65,45.317,0,76.56,3.22924,0,51.36,1.66384
0,50.54,0.71762,-100,59,45.851,0,101.68,3.39222,0,76.98,1.88918
0,75.62,0.81914,-100,55,44.585,0,76.34,3.0143,0,76.42,2.22834
0,76.22,0.93422,-100,55,44.747,0,60.88,3.00084,0,76.3,2.32784
0,50.7,0.82708,-100,56,44.455,0,60.48,2.63476,0,76.26,2.26478
0,58.7,0.69436,-100,54,47.428,0,60.22,2.66486,0,75.94,2.21496
0,50.54,0.56832,-100,61,43.787,0,75.54,2.42944,0,76.32,2.00654
0,60.2,0.70224,-100,57,44.565,0,75.78,2.62382,0,76.46,2.0304
0,51.62,0.66896,-100,57,46.722,0,60.62,2.83054,0,76.28,2.06788
0,22.24,0.51794,-100,54,46.815,0,60.76,2.63176,0,76.22,1.77586
0,25,0.59942,-100,53,45.251,0,60.62,2.55016,0,75.78,1.61166
0,75.16,0.75472,-100,59,45.514,0,50.72,2.70926,0,76.4,1.90394
0,50.4,0.8002,-100,61,45.643,0,50.88,3.06282,0,75.96,1.85288
0,22.12,0.65256,-100,54,46.67,0,60.46,2.79848,0,37.88,1.5484
0,21.02,0.76452,-100,58,44.739,0,50.66,2.35914,0,37.66,1.58454
0,21.74,0.72316,-100,57,45.6,0,76,2.49798,0,38.02,1.55388
0,22.94,0.73426,-100,57,46.086,0,76.4,2.64874,0,37.84,1.59994
0,41.68,0.8482,-100,61,44.259,0,75.56,2.67054,0,37.5,1.55186
0,55.16,0.9156,-100,62,44.371,0,76.5,2.77914,0,29.94,1.5263
0,47.72,0.88938,-100,58,45.741,0,75.22,2.62674,0,30.56,1.56648
0,45.88,0.88794,-100,56,47.061,0,76.08,3.02732,0,30.64,1.49486
0,47.22,0.99792,-100,58,46.023,0,76.22,3.14692,0,29.78,1.41676
0,47.1,0.98072,-100,56,45.403,0,51.22,3.24262,0,29.9,1.38266
0,47.02,1.04684,-100,61,45.134,0,51.4,3.13528,0,29.78,1.40476
0,47.22,1.17138,-100,55,46.069,0,51.4,2.77528,0,22.26,1.42246
0,45.58,1.1643,-100,61,45.21,0,76.36,3.10406,0,34.16,1.6111
0,34,1.05062,-100,57,44.532,0,76.2,3.41798,0,34.4,1.68752
0,32.88,0.9471,-100,63,44.986,0,76.34,3.51708,0,34.26,1.93262
0,44.18,0.9071,-100,60,45.202,0,76.14,3.41714,0,34.56,1.8289
0,34.12,0.76476,-100,56,47.243,0,76.36,3.31408,0,34.32,1.80026
0,34.62,0.95634,-100,60,45.874,0,76.04,3.2495,0,34.34,1.68266
0,34.68,0.75828,-100,61,43.19,0,76.6,3.5488,0,37.5,1.83892
0,34.74,0.7711,-100,58,45.315,0,76.2,3.30484,0,37.38,1.881
0,34.54,0.67212,-100,56,43.825,0,76.76,3.25288,0,34.44,1.7062
0,76.24,0.76202,-100,60,45.729,0,76.36,3.57404,0,34.3,1.54702
0,34.54,0.70572,-100,55,46.216,0,76.58,3.31276,0,34.18,1.40268
0,33.86,0.70606,-100,58,45.798,0,77.34,3.47844,0,34.18,1.57156
0,36.24,0.7248,-100,62,43.702,0,76.7,4.2689,0,34.2,1.48006
0,34.9,0.767,-100,57,44.905,0,76.5,3.81774,0,34.1,1.5677
0,37.7,0.82646,-100,61,45.522,0,76.56,4.12276,0,38.92,1.67908
0,37.96,0.95576,-100,61,44.777,0,76.72,4.29662,0,38.42,1.56862
0,37.8,0.97322,-100,60,44.762,0,76.92,4.44522,0,34.66,1.72484
0,37.94,0.87686,-100,64,45.813,0,76.84,4.3224,0,37.66,1.81648
0,51.12,0.78268,-100,57,45.414,0,76.86,4.53968,0,37.66,1.61046
0,51.32,0.87456,-100,58,45.607,0,76.46,4.4165,0,38.28,1.59872
0,59.58,0.87182,-100,59,43.858,0,76.64,4.48398,0,38.18,1.63968
0,59.16,0.91906,-100,57,45.647,0,76.74,4.27234,0,38.36,1.48226
0,45.06,0.86856,-100,58,44.945,0,76.88,5.21126,0,38.08,1.38302
0,50.82,0.84874,-100,57,43.885,0,76.42,5.28232,0,43.46,1.45482
0,44.76,0.85758,-100,55,44.233,0,76.58,4.8078,0,43.5,1.24218
0,45.14,0.94902,-100,58,44.533,0,101.66,4.49362,0,38.1,1.16234
0,45.48,1.30048,-100,55,44.376,0,101.08,4.57776,0,37.96,1.10986
0,46,1.23264,-100,56,45.493,0,101,4.15356,0,21.42,1.1153
0,39.64,1.07256,-100,52,43.998,0,76.48,3.73776,0,22.52,1.02126
0,39.68,1.23286,-100,51,44.87,0,76.62,3.41252,0,31,1.06424
0,39.8,1.17968,-100,51,45.771,0,76.7,3.182,0,50.88,1.21392
0,39.48,1.22074,-100,55,44.752,0,76.38,3.8041,0,51.46,1.44668
0,40.46,1.1772,-100,59,46.687,0,76.22,3.45172,0,50.8,1.40396
0,40.04,0.94112,-100,57,45.85,0,76.7,3.9521,0,51.26,1.68304
0,39.82,0.70812,-100,58,45.65,0,76.82,3.52278,0,51.48,1.6454
0,40.18,0.81228,-100,54,44.321,0,76.26,3.00754,0,38.6,1.55694
0,35.3,0.66948,-100,62,43.983,0,76.68,2.85296,0,50.7,1.30256
0,35.12,0.61178,-100,53,45.724,0,76.5,3.09502,0,75.56,1.40888
0,34.98,0.60096,-100,63,44.596,0,76.36,3.15918,0,76.52,1.52014
0,35.14,0.69558,-100,61,45.801,0,76.38,3.49034,0,75.86,1.5056
0,35.06,0.64084,-100,58,43.418,0,76.52,2.77356,0,75.96,1.36788
0,34.74,0.70448,-100,59,45.356,0,76.6,3.1807,0,76.8,1.53292
0,25.7,0.73534,-100,55,45.3,0,76.44,2.99502,0,75.8,1.57546
0,20.3,0.71832,-100,53,45.791,0,76.36,3.14704,0,76.32,1.5582
