Minimum Sense Count,Maximum Sense Count,Mean Sense Count,Minimum Fitness,Maximum Fitness,Mean Fitness,Minimum Guess0 Count,Maximum Guess0 Count,Mean Guess0 Count,Minimum Guess1 Count,Maximum Guess1 Count,Mean Guess1 Count
0,37.92,0.58804,-100,54,-51.301,0,38.3,0.64754,0,60.74,0.66464
0,37.92,0.73878,-100,66,-20.542,0,38.48,1.05612,0,50.04,1.00136
0,101.46,0.78916,-100,59,10.657,0,32.62,1.36242,0,50.8,1.3396
0,101.72,0.92968,-100,58,33.926,0,41.36,1.56408,0,61.38,1.8047
0,101.36,0.88156,-100,61,42.199,0,41.44,1.77564,0,61.06,2.16822
0,29.68,0.78718,-100,57,42.023,0,43.9,1.7539,0,50.78,2.3063
0,10,0.70652,-100,61,44.929,0,43.82,1.92694,0,50.72,2.32922
0,26.22,0.72652,-100,59,44.82,0,42.24,1.85404,0,76.3,2.38656
0,25.96,0.71736,-100,64,45.609,0,42.2,1.63712,0,76,2.31254
0,25.86,0.672,-100,63,45.035,0,42.14,1.62096,0,76.1,2.1546
0,18.48,0.62846,-100,59,44.192,0,41.9,1.7409,0,50.8,2.0453
0,18.68,0.71006,-100,58,44.354,0,42.08,1.8271,0,50.52,2.22586
0,18.54,0.66224,-100,60,45.361,0,50.98,1.99216,0,50.8,2.41054
0,19.62,0.68572,-100,62,44.605,0,46.2,2.03408,0,50.42,2.09408
0,10,0.67958,-100,56,45.574,0,46.52,2.0185,0,50.54,1.98658
0,16.98,0.64716,-100,64,43.855,0,46.08,1.97654,0,50.44,2.06484
0,17,0.68102,-100,61,44.827,0,45.66,2.04672,0,75.88,2.02114
0,27.34,0.7304,-100,60,44.91,0,25.92,1.92032,0,50.42,1.76092
0,16.5,0.65146,-100,59,43.765,0,26.18,1.70914,0,50.72,1.69634
0,28.38,0.67816,-100,56,44.734,0,25.96,1.7089,0,76.24,1.62864
0,16.4,0.67158,-100,52,45.534,0,26.16,1.71428,0,24.86,1.41734
0,16.24,0.63456,-100,55,44.037,0,25.94,1.68578,0,24.72,1.41174
0,6.14,0.59138,-100,56,43.92,0,20.38,1.68522,0,24.74,1.35214
0,8.04,0.59014,-100,58,45.807,0,37.54,1.7183,0,76.54,1.55148
0,14.42,0.56278,-100,58,45.382,0,30.58,1.7607,0,76.32,1.59148
0,6.66,0.6177,-100,56,45.946,0,38.76,1.7663,0,76.34,1.71716
0,6.4,0.60956,-100,56,45.494,0,30.52,1.75116,0,76.24,1.77654
0,37.86,0.68792,-100,53,45.805,0,61.24,1.78,0,75.82,1.61384
0,37.58,0.6826,-100,60,46.012,0,20.26,1.7505,0,38.54,1.50306
0,37.28,0.75742,-100,56,45.268,0,24.52,1.77378,0,76.22,1.64904
0,42.74,0.74998,-100,64,44.774,0,24.76,1.90596,0,76.5,1.72708
0,14.94,0.70216,-100,59,46.403,0,38.16,2.14024,0,76.4,2.2521
0,15.38,0.6841,-100,61,44.834,0,38.42,2.1587,0,76.16,2.31536
0,29.32,0.75996,-100,54,44.735,0,32.5,2.06908,0,50.42,1.86722
0,29.24,0.90348,-100,58,43.084,0,33.58,2.26168,0,50.76,1.79934
0,17.86,0.82206,-100,58,44.781,0,30.14,2.32046,0,51,2.07298
0,29.94,0.93614,-100,55,44.802,0,31.16,2.40338,0,60.8,2.0951
0,19.02,0.92902,-100,59,44.938,0,38.1,2.29996,0,61.1,2.0481
0,38.14,0.97164,-100,56,45.171,0,50.66,2.35854,0,60.92,2.11118
0,18.8,0.97298,-100,61,44.936,0,76,2.46618,0,60.98,2.38194
0,19.02,0.91988,-100,62,44.09,0,27.68,2.0563,0,38.26,2.07468
0,18.78,0.9346,-100,56,44.008,0,24.38,1.96268,0,38.34,2.34474
0,37.78,1.05258,-100,55,45.26,0,51.16,1.98084,0,60.7,2.3991
0,24.9,1.01458,-100,65,45.885,0,29.62,1.98664,0,60.56,2.31026
0,25.12,1.15172,-100,59,45.962,0,29.62,1.9906,0,60.56,2.16964
0,25.18,1.27382,-100,58,45.053,0,29.52,1.93474,0,60.34,2.05766
0,18.82,1.119,-100,61,44.617,0,18.7,1.7801,0,37.42,1.8725
0,25.14,1.14694,-100,56,43.501,0,23,1.78902,0,24.76,1.86148
0,21.38,1.04328,-100,59,44.124,0,21.18,1.81126,0,30.34,1.7153
0,21.66,1.05056,-100,52,46.131,0,21.26,1.87516,0,30.28,1.98602
0,75.7,1.09762,-100,56,44.873,0,50.34,1.70948,0,30.24,2.1041
0,37.48,1.05292,-100,52,44.448,0,50.52,1.76492,0,33.76,2.11078
0,36.76,1.08054,-100,55,46.759,0,50.92,1.84216,0,33.62,2.35222
0,37.24,1.17642,-100,57,45.278,0,50.22,1.88254,0,37.74,2.28894
0,50.38,1.1926,-100,57,45.221,0,50,1.78432,0,38.36,2.10176
0,37.28,1.18632,-100,56,45.506,0,49.8,1.864,0,38.02,1.96178
0,42.16,1.23456,-100,57,45.938,0,49.9,2.04322,0,33.68,1.9505
0,54.8,1.48388,-100,55,44.745,0,49.98,2.3216,0,33.76,2.04514
0,54.22,1.1736,-100,52,44.373,0,49.76,2.23532,0,34.3,2.0409
