Minimum Sense Count,Maximum Sense Count,Mean Sense Count,Minimum Fitness,Maximum Fitness,Mean Fitness,Minimum Function Calls,Maximum Function Calls,Mean Function Calls,Minimum Function Forks,Maximum Function Forks,Mean Function Forks,Minimum Function Calls & Forks,Maximum Function Calls & Forks,Mean Funciton Calls & Forks,Minimum Guess0 Count,Maximum Guess0 Count,Mean Guess0 Count,Minimum Guess1 Count,Maximum Guess1 Count,Mean Guess1 Count
0,40.28,0.6199,-100,59,-51.54,0,8097,166.583,0,0,0,0,8097,166.583,0,43.78,0.57524,0,45.98,0.71344
0,40.54,0.58244,-100,60,-25.511,0,8113,181.251,0,0,0,0,8113,181.251,0,54.56,0.89112,0,40.98,1.029
0,32.44,0.68764,-100,62,8.441,0,8110,172.839,0,0,0,0,8110,172.839,0,54.4,1.29544,0,40.58,1.39428
0,32.58,0.70248,-100,52,38.005,0,8087,149.046,0,0,0,0,8087,149.046,0,54.3,1.68942,0,40.48,1.85462
0,32.72,0.69574,-100,62,42.81,0,8041,126.425,0,0,0,0,8041,126.425,0,81.48,1.97316,0,40.58,1.87936
0,32.5,0.65758,-100,55,44.457,0,7982,128.282,0,0,0,0,7982,128.282,0,54.92,1.75044,0,40.86,2.10426
0,30.24,0.70438,-100,55,42.502,0,8082,102.703,0,0,0,0,8082,102.703,0,55.46,1.70284,0,41.08,1.81714
0,30.08,0.78064,-100,57,45.65,0,8092,76.25,0,0,0,0,8092,76.25,0,54.58,1.57716,0,40.82,1.86486
0,54.08,0.87534,-100,58,44.759,0,7998,90.844,0,0,0,0,7998,90.844,0,54.4,1.83852,0,73.42,1.98516
0,30.38,0.6986,-100,57,43.85,0,6992,97.949,0,0,0,0,6992,97.949,0,54.84,1.83954,0,73.7,2.08422
0,35.68,0.70068,-100,58,44.293,0,7277,129.763,0,0,0,0,7277,129.763,0,54.52,1.82514,0,74.06,2.13332
0,35.68,0.73546,-100,61,44.452,0,7221,147.249,0,0,0,0,7221,147.249,0,54.6,1.75752,0,73.7,2.1061
0,40,0.92432,-100,58,43.693,0,8047,168.666,0,0,0,0,8047,168.666,0,54.58,1.75904,0,41.52,1.99226
0,40.8,0.79186,-100,56,44.165,0,8113,172.99,0,0,0,0,8113,172.99,0,54.7,1.88642,0,41.26,1.81302
0,40.52,0.89398,-100,53,43.414,0,7990,130.244,0,0,0,0,7990,130.244,0,54.52,1.67882,0,41.62,1.77618
0,40.56,0.87364,-100,52,42.052,0,7984,115.294,0,0,0,0,7984,115.294,0,54.66,1.79702,0,39.22,1.73626
0,40.44,0.84586,-100,51,43.549,0,8076,172.945,0,0,0,0,8076,172.945,0,65.68,1.74284,0,39.64,1.84516
0,40.76,0.8446,-100,62,43.701,0,8006,137.394,0,0,0,0,8006,137.394,0,54.18,2.00368,0,39.82,1.97172
0,81.3,1.0763,-100,60,45.667,0,7198,105.541,0,0,0,0,7198,105.541,0,54.3,1.8242,0,39.6,2.25646
0,40.38,1.04986,-100,60,43.103,0,7902,124.982,0,0,0,0,7902,124.982,0,53.9,2.1553,0,45.82,2.29858
0,35.74,1.04162,-100,55,43.644,0,8082,92.371,0,0,0,0,8082,92.371,0,58.58,2.1572,0,39.8,2.02236
0,23.76,1.13878,-100,62,43.701,0,2933,71.134,0,0,0,0,2933,71.134,0,54.36,1.8567,0,39.92,2.0463
0,32.54,1.20078,-100,56,43.864,0,7293,78.115,0,0,0,0,7293,78.115,0,40.72,1.89186,0,39.58,1.99038
0,49.8,1.19452,-100,57,45.354,0,4034,84.186,0,0,0,0,4034,84.186,0,81.54,2.17894,0,39.7,2.08488
0,29.76,1.06222,-100,61,41.65,0,8078,128.995,0,0,0,0,8078,128.995,0,81.04,2.36504,0,32.38,1.8708
0,32.8,1.02172,-100,57,43.968,0,4023,88.788,0,0,0,0,4023,88.788,0,81.24,2.4143,0,32.28,2.15556
0,32.64,0.8205,-100,64,45.036,0,4000,103.462,0,0,0,0,4000,103.462,0,81.04,2.56314,0,32.08,2.04052
0,41.5,0.98844,-100,61,44.613,0,4010,122.327,0,0,0,0,4010,122.327,0,81.16,2.77584,0,45.88,2.16372
0,23.64,0.8404,-100,65,43.423,0,6981,124.003,0,0,0,0,6981,124.003,0,81.4,2.59572,0,32.6,2.07462
0,23.56,0.79894,-100,55,45.935,0,3547,98.4,0,0,0,0,3547,98.4,0,54.4,2.06154,0,31.88,2.17872
0,18.42,0.88942,-100,57,45.632,0,8046,128.82,0,0,0,0,8046,128.82,0,54.64,2.3079,0,32.12,2.13828
0,17.92,0.83146,-100,60,43.397,0,8054,107.837,0,0,0,0,8054,107.837,0,54.16,2.3111,0,31.96,2.0805
0,39.3,0.90162,-100,58,44.928,0,8123,137.522,0,0,0,0,8123,137.522,0,54.28,2.37798,0,35.58,2.1993
0,36.46,0.89062,-100,56,46.412,0,6986,125.658,0,0,0,0,6986,125.658,0,53.68,2.45376,0,35.94,2.3223
0,36.76,0.9732,-100,61,46.17,0,6961,115.394,0,0,0,0,6961,115.394,0,40.72,2.38522,0,35.78,2.26082
0,36.62,1.11282,-100,60,44.827,0,7095,128.788,0,0,0,0,7095,128.788,0,45.62,2.53016,0,35.88,2.21616
0,40.96,1.11382,-100,58,44.96,0,8070,136.676,0,0,0,0,8070,136.676,0,53.8,2.42016,0,40.54,2.25406
0,36.66,1.09544,-100,63,44.685,0,8077,135.964,0,0,0,0,8077,135.964,0,41.28,2.49812,0,80.68,2.39556
0,32.76,1.09274,-100,67,44.839,0,8090,137.069,0,0,0,0,8090,137.069,0,54.44,2.3922,0,80.84,2.36336
0,33.14,1.3838,-100,70,44.152,0,8085,145.862,0,0,0,0,8085,145.862,0,65.52,2.54762,0,81.02,2.60832
